CustomerID,SessionDuration,PagesVisited,ItemsAddedToCart,ItemsRemovedFromCart,DeviceUsed
CUST00135,0.26,9,5,5,Tablet
CUST00136,22.34,3,4,1,Desktop
CUST00137,6.03,7,1,0,Tablet
CUST00138,24.74,4,5,5,Desktop
CUST00139,5.54,5,2,2,Mobile
CUST00140,2.85,11,1,1,Desktop
CUST00141,12.78,8,1,0,Mobile
CUST00142,26.47,6,5,3,Desktop
CUST00143,3.26,2,1,1,Desktop
CUST00144,14.14,6,3,2,Mobile
CUST00145,5.69,1,0,0,Mobile
CUST00146,3.46,10,0,0,Mobile
CUST00147,6.32,1,0,0,Tablet
CUST00148,9.21,8,2,1,Desktop
CUST00149,12.34,3,2,0,Tablet
CUST00150,13.41,7,2,1,Tablet
CUST00151,20.79,2,0,0,Mobile
CUST00152,2.49,1,2,2,Mobile
CUST00153,5.11,2,3,0,Desktop
CUST00154,3.48,6,5,3,Desktop
CUST00155,8.61,3,5,4,Tablet
CUST00156,6.81,6,1,0,Tablet
CUST00157,34.27,1,3,1,Mobile
CUST00158,18.69,8,5,5,Mobile
CUST00159,3.76,3,3,1,Tablet
CUST00160,14.02,3,1,0,Tablet
CUST00161,41.51,6,5,2,Tablet
CUST00162,13.22,1,2,2,Mobile
CUST00163,8.08,8,5,0,Tablet
CUST00164,6.98,7,4,3,Desktop
CUST00165,11.33,3,4,0,Mobile
CUST00166,5.78,4,1,1,Desktop
CUST00167,24.53,3,4,3,Desktop
CUST00168,7.43,9,5,2,Mobile
CUST00169,6.75,3,0,0,Tablet
CUST00170,3.49,7,4,0,Mobile
CUST00171,2.77,10,1,1,Desktop
CUST00172,1.15,4,2,1,Mobile
CUST00173,4.66,4,5,2,Desktop
CUST00174,43.03,8,2,1,Tablet
CUST00175,5.99,7,2,1,Tablet
CUST00176,12.1,6,1,0,Desktop
CUST00177,6.15,3,4,3,Mobile
CUST00178,6.29,7,5,3,Mobile
CUST00179,8.15,3,0,0,Tablet
CUST00180,61.2,1,0,0,Mobile
CUST00181,54.57,1,5,0,Desktop
CUST00182,23.43,6,5,5,Mobile
CUST00183,5.02,2,1,0,Desktop
CUST00184,25.88,9,2,2,Tablet
CUST00185,8.54,3,1,1,Desktop
CUST00186,5.28,9,3,0,Tablet
CUST00187,20.58,5,5,4,Tablet
CUST00188,3.75,10,1,0,Desktop
CUST00189,15.94,5,3,1,Tablet
CUST00190,10.42,9,3,2,Desktop
CUST00191,7.57,5,1,0,Tablet
CUST00192,4.29,5,4,3,Tablet
CUST00193,2.16,6,0,0,Tablet
CUST00194,0.41,1,4,4,Mobile
CUST00195,4.67,4,4,0,Mobile
CUST00196,8.06,5,2,2,Mobile
CUST00197,7.59,1,1,1,Tablet
CUST00198,21.44,6,5,5,Tablet
CUST00199,4.01,1,3,3,Tablet
CUST00200,10.61,9,1,1,Mobile
CUST00201,14.0,8,5,0,Mobile
CUST00202,0.18,6,5,2,Mobile
CUST00203,5.79,3,5,5,Tablet
CUST00204,8.15,4,5,5,Desktop
CUST00205,4.01,7,1,0,Tablet
CUST00206,26.83,4,2,0,Tablet
CUST00207,15.15,14,2,2,Desktop
CUST00208,17.0,1,2,0,Mobile
CUST00209,31.68,1,5,3,Mobile
CUST00210,1.97,10,5,3,Tablet
CUST00211,5.93,6,1,1,Desktop
CUST00212,63.83,7,5,3,Mobile
CUST00213,4.63,3,0,0,Mobile
CUST00214,7.37,6,1,0,Desktop
CUST00215,2.39,6,4,4,Desktop
CUST00216,4.04,10,5,3,Mobile
CUST00217,20.99,6,4,0,Desktop
CUST00218,4.57,7,0,0,Tablet
CUST00219,2.94,3,2,0,Desktop
CUST00220,21.26,4,2,2,Tablet
CUST00221,8.45,5,2,1,Tablet
CUST00222,10.2,9,2,1,Mobile
CUST00223,1.23,4,1,0,Desktop
CUST00224,22.67,4,5,4,Tablet
CUST00225,0.93,7,1,0,Tablet
CUST00226,1.23,3,5,2,Desktop
CUST00227,9.86,4,4,0,Mobile
CUST00228,21.98,6,0,0,Mobile
CUST00229,12.12,4,1,0,Tablet
CUST00230,1.93,3,1,1,Desktop
CUST00231,10.71,6,1,0,Tablet
CUST00232,4.02,4,1,1,Tablet
CUST00233,22.81,4,5,1,Desktop
CUST00234,10.78,5,0,0,Mobile
CUST00235,13.48,3,0,0,Tablet
CUST00236,27.94,1,2,2,Desktop
CUST00237,2.23,12,3,2,Mobile
CUST00238,20.7,2,2,2,Mobile
CUST00239,14.2,3,0,0,Tablet
CUST00240,28.3,5,2,0,Mobile
CUST00241,3.08,9,2,1,Tablet
CUST00242,7.16,8,0,0,Desktop
CUST00243,1.34,5,0,0,Tablet
CUST00244,7.86,13,3,0,Mobile
CUST00245,16.93,10,2,0,Tablet
CUST00246,5.35,8,5,0,Tablet
CUST00247,5.22,2,4,0,Tablet
CUST00248,18.04,6,0,0,Tablet
CUST00249,11.24,5,1,1,Tablet
CUST00250,22.51,9,4,2,Desktop
CUST00251,8.67,1,2,2,Mobile
CUST00252,2.16,2,0,0,Desktop
CUST00253,33.3,3,5,2,Mobile
CUST00254,23.47,1,2,1,Tablet
CUST00255,11.79,6,4,2,Mobile
CUST00256,8.37,6,0,0,Desktop
CUST00257,41.65,4,5,0,Desktop
CUST00258,15.28,2,2,2,Mobile
CUST00259,3.35,1,4,3,Tablet
CUST00260,3.11,4,2,1,Mobile
CUST00261,4.33,2,0,0,Desktop
CUST00262,22.6,3,2,0,Mobile
CUST00263,27.8,8,5,1,Desktop
CUST00264,19.87,10,2,2,Desktop
CUST00265,25.87,1,3,0,Tablet
CUST00266,6.66,2,1,1,Mobile
CUST00267,9.74,4,0,0,Mobile
CUST00268,9.21,2,1,1,Mobile
CUST00269,15.47,1,2,2,Desktop
CUST00270,1.87,1,5,0,Desktop
CUST00271,24.01,9,2,2,Mobile
CUST00272,17.88,2,5,1,Desktop
CUST00273,0.88,2,2,0,Mobile
CUST00274,24.96,3,3,0,Tablet
CUST00275,21.34,8,4,0,Desktop
CUST00276,19.92,5,1,0,Tablet
CUST00277,6.25,3,5,4,Tablet
CUST00278,9.15,2,0,0,Desktop
CUST00279,14.21,6,5,3,Tablet
CUST00280,46.51,6,3,0,Mobile
CUST00281,4.7,3,1,0,Mobile
CUST00282,8.85,5,5,5,Desktop
CUST00283,1.15,4,2,2,Desktop
CUST00284,0.7,6,3,0,Mobile
CUST00285,3.17,1,1,0,Desktop
CUST00286,14.93,7,4,3,Mobile
CUST00287,11.76,6,4,3,Tablet
CUST00288,12.22,6,1,0,Mobile
CUST00289,4.34,8,5,0,Mobile
CUST00290,37.68,2,0,0,Tablet
CUST00291,1.85,11,5,3,Desktop
CUST00292,4.72,5,5,3,Tablet
CUST00293,6.38,3,0,0,Desktop
CUST00294,4.83,2,4,0,Tablet
CUST00295,0.42,5,1,1,Tablet
CUST00296,3.81,5,0,0,Desktop
CUST00297,65.76,3,0,0,Desktop
CUST00298,1.58,1,1,1,Desktop
CUST00299,24.85,6,0,0,Mobile
CUST00300,15.9,4,3,1,Mobile
CUST00301,13.36,6,3,0,Mobile
CUST00302,7.11,8,3,3,Mobile
CUST00303,3.32,1,2,2,Mobile
CUST00304,15.53,4,5,2,Desktop
CUST00305,30.65,9,5,4,Tablet
CUST00306,2.73,4,3,1,Mobile
CUST00307,9.32,8,0,0,Desktop
CUST00308,14.68,1,1,1,Mobile
CUST00309,4.13,4,1,1,Desktop
CUST00310,0.35,1,0,0,Tablet
CUST00311,0.92,1,3,2,Mobile
CUST00312,0.02,3,2,0,Mobile
CUST00313,0.08,6,1,1,Desktop
CUST00314,2.63,1,0,0,Tablet
CUST00315,7.36,7,2,1,Desktop
CUST00316,4.96,6,3,1,Desktop
CUST00317,6.88,2,1,1,Tablet
CUST00318,1.79,5,0,0,Mobile
CUST00319,20.24,10,1,0,Desktop
CUST00320,2.49,6,3,2,Mobile
CUST00321,15.97,7,1,0,Tablet
CUST00322,2.74,7,1,1,Mobile
CUST00323,118.57,3,1,1,Mobile
CUST00324,5.6,4,3,3,Desktop
CUST00325,0.27,9,2,1,Mobile
CUST00326,4.73,5,2,2,Desktop
CUST00327,41.05,3,2,2,Mobile
CUST00328,10.79,4,2,0,Mobile
CUST00329,2.5,3,2,1,Mobile
CUST00330,7.67,5,5,0,Desktop
CUST00331,7.73,8,5,2,Mobile
CUST00332,16.29,4,1,1,Tablet
CUST00333,57.74,3,4,2,Mobile
CUST00334,5.46,4,2,1,Desktop
CUST00335,7.81,1,5,5,Tablet
CUST00336,20.36,5,3,2,Desktop
CUST00337,1.48,5,1,1,Desktop
CUST00338,14.37,4,1,1,Tablet
CUST00339,34.33,8,5,3,Desktop
CUST00340,9.69,4,1,1,Desktop
CUST00341,66.74,5,3,0,Tablet
CUST00342,5.49,2,2,2,Desktop
CUST00343,13.37,3,3,0,Desktop
CUST00344,4.21,6,1,0,Desktop
CUST00345,0.63,8,2,0,Tablet
CUST00346,0.32,1,3,0,Tablet
CUST00347,13.72,9,3,2,Desktop
CUST00348,35.26,4,4,4,Mobile
CUST00349,3.16,1,0,0,Desktop
CUST00350,6.58,5,5,5,Desktop
CUST00351,1.89,4,1,0,Desktop
CUST00352,8.93,5,2,1,Desktop
CUST00353,36.75,6,3,2,Mobile
CUST00354,5.01,10,1,0,Mobile
CUST00355,1.01,7,1,1,Mobile
CUST00356,7.82,1,0,0,Tablet
CUST00357,11.83,1,0,0,Tablet
CUST00358,38.31,3,0,0,Tablet
CUST00359,21.42,5,5,5,Tablet
CUST00360,0.09,9,1,0,Desktop
CUST00361,8.79,6,3,0,Desktop
CUST00362,2.43,4,0,0,Desktop
CUST00363,7.58,11,3,0,Mobile
CUST00364,10.26,5,2,0,Mobile
CUST00365,35.28,5,2,1,Tablet
CUST00366,24.24,4,3,2,Tablet
CUST00367,6.02,4,5,2,Desktop
CUST00368,44.4,10,5,5,Mobile
CUST00369,3.38,5,4,0,Tablet
CUST00370,7.85,3,3,0,Desktop
CUST00371,36.96,1,3,0,Tablet
CUST00372,20.89,5,0,0,Desktop
CUST00373,10.03,3,0,0,Tablet
CUST00374,19.72,4,4,0,Mobile
CUST00375,2.22,7,0,0,Mobile
CUST00376,44.3,3,0,0,Mobile
CUST00377,4.91,1,2,1,Tablet
CUST00378,6.76,6,5,2,Mobile
CUST00379,1.45,8,1,1,Tablet
CUST00380,14.03,6,5,2,Desktop
CUST00381,10.63,6,1,1,Mobile
CUST00382,19.07,7,0,0,Mobile
CUST00383,11.56,5,5,1,Mobile
CUST00384,1.34,8,4,4,Tablet
CUST00385,5.96,5,4,3,Tablet
CUST00386,33.8,3,1,0,Mobile
CUST00387,3.35,1,0,0,Desktop
CUST00388,22.55,5,0,0,Desktop
CUST00389,49.76,3,5,3,Mobile
CUST00390,7.86,8,0,0,Tablet
CUST00391,12.54,1,4,2,Mobile
CUST00392,67.09,7,0,0,Desktop
CUST00393,28.17,5,2,1,Mobile
CUST00394,48.03,11,0,0,Desktop
CUST00395,40.52,4,3,1,Mobile
CUST00396,0.15,2,1,1,Desktop
CUST00397,43.06,6,1,0,Mobile
CUST00398,0.16,2,5,3,Tablet
CUST00399,19.36,6,1,1,Tablet
CUST00400,17.09,2,2,1,Desktop
CUST00401,30.47,7,1,0,Mobile
CUST00402,6.13,10,4,0,Desktop
CUST00403,28.39,1,4,3,Mobile
CUST00404,16.36,1,0,0,Mobile
CUST00405,4.41,7,1,1,Tablet
CUST00406,11.33,7,4,0,Tablet
CUST00407,24.35,1,2,2,Tablet
CUST00408,7.17,4,2,1,Tablet
CUST00409,15.05,1,4,1,Tablet
CUST00410,41.97,11,5,0,Desktop
CUST00411,2.42,7,0,0,Mobile
CUST00412,33.04,4,2,0,Mobile
CUST00413,2.81,5,2,0,Tablet
CUST00414,0.32,3,5,1,Desktop
CUST00415,6.96,9,0,0,Tablet
CUST00416,13.55,4,4,1,Tablet
CUST00417,34.32,1,1,1,Mobile
CUST00418,36.47,8,5,5,Tablet
CUST00419,38.15,2,1,1,Desktop
CUST00420,11.65,2,4,4,Tablet
CUST00421,14.95,1,4,0,Desktop
CUST00422,41.36,6,4,1,Tablet
CUST00423,15.91,6,1,1,Desktop
CUST00424,0.45,4,1,0,Desktop
CUST00425,25.51,5,1,1,Tablet
CUST00426,3.47,3,3,2,Tablet
CUST00427,20.86,1,3,3,Mobile
CUST00428,7.84,7,1,0,Desktop
CUST00429,5.31,1,5,1,Tablet
CUST00430,26.53,8,3,0,Tablet
CUST00431,2.64,3,2,2,Desktop
CUST00432,8.64,1,0,0,Tablet
CUST00433,7.61,7,4,1,Desktop
CUST00434,7.65,4,5,3,Tablet
CUST00435,13.5,1,1,1,Desktop
CUST00436,12.09,2,0,0,Tablet
CUST00437,22.82,5,4,0,Tablet
CUST00438,71.58,3,3,2,Mobile
CUST00439,6.76,3,5,2,Desktop
CUST00440,6.55,4,4,0,Desktop
CUST00441,1.76,8,0,0,Mobile
CUST00442,26.77,2,4,1,Tablet
CUST00443,1.91,7,5,5,Tablet
CUST00444,19.76,3,0,0,Mobile
CUST00445,10.59,8,0,0,Mobile
CUST00446,30.53,3,0,0,Mobile
CUST00447,3.05,3,1,0,Mobile
CUST00448,9.88,4,3,0,Tablet
CUST00449,22.68,3,3,2,Desktop
CUST00450,0.18,3,2,0,Desktop
CUST00451,10.94,8,3,0,Mobile
CUST00452,28.8,2,3,3,Mobile
CUST00453,1.88,5,0,0,Mobile
CUST00454,2.01,1,5,4,Desktop
CUST00455,17.84,1,3,1,Tablet
CUST00456,9.96,8,0,0,Mobile
CUST00457,1.75,1,5,2,Tablet
CUST00458,22.43,6,2,2,Tablet
CUST00459,9.54,5,3,3,Desktop
CUST00460,1.05,2,0,0,Tablet
CUST00461,25.65,11,0,0,Desktop
CUST00462,8.21,1,4,4,Desktop
CUST00463,33.16,7,3,0,Desktop
CUST00464,11.56,6,3,2,Desktop
CUST00465,25.18,5,3,3,Tablet
CUST00466,3.86,1,4,1,Mobile
CUST00467,22.68,6,2,2,Tablet
CUST00468,19.8,3,5,4,Tablet
CUST00469,2.17,3,0,0,Mobile
CUST00470,56.91,2,1,0,Desktop
CUST00471,3.67,1,4,3,Desktop
CUST00472,2.22,5,1,0,Tablet
CUST00473,2.07,11,4,3,Tablet
CUST00474,15.41,4,1,0,Desktop
CUST00475,45.29,14,3,2,Tablet
CUST00476,16.08,1,5,5,Tablet
CUST00477,17.14,5,0,0,Desktop
CUST00478,3.45,8,2,2,Desktop
CUST00479,35.31,8,1,0,Mobile
CUST00480,45.38,5,3,3,Tablet
CUST00481,23.22,3,5,0,Tablet
CUST00482,9.54,3,2,1,Mobile
CUST00483,13.01,9,2,0,Mobile
CUST00484,4.59,2,5,4,Desktop
CUST00485,15.16,2,0,0,Tablet
CUST00486,26.94,2,1,1,Desktop
CUST00487,7.14,2,3,2,Tablet
CUST00488,2.15,2,1,1,Desktop
CUST00489,5.8,2,5,3,Tablet
CUST00490,20.21,9,4,4,Tablet
CUST00491,58.84,7,0,0,Tablet
CUST00492,64.43,7,5,4,Mobile
CUST00493,2.91,1,2,1,Mobile
CUST00494,13.44,4,5,4,Tablet
CUST00495,13.39,3,3,0,Tablet
CUST00496,7.78,6,4,4,Mobile
CUST00497,3.0,2,5,1,Desktop
CUST00498,19.19,4,2,2,Mobile
CUST00499,35.18,2,3,2,Mobile
CUST00500,2.33,6,4,3,Mobile
CUST00501,10.09,6,4,4,Tablet
CUST00502,5.21,4,0,0,Mobile
CUST00503,1.2,1,4,3,Mobile
CUST00504,2.64,9,3,3,Mobile
CUST00505,28.13,2,4,4,Desktop
CUST00506,0.67,8,4,0,Mobile
CUST00507,18.12,10,3,0,Mobile
CUST00508,1.5,5,2,0,Desktop
CUST00509,4.43,3,2,0,Mobile
CUST00510,2.12,8,1,1,Desktop
CUST00511,1.44,6,1,1,Tablet
CUST00512,22.84,6,1,0,Tablet
CUST00513,2.39,7,3,2,Tablet
CUST00514,26.56,5,4,1,Tablet
CUST00515,42.27,1,2,0,Tablet
CUST00516,0.58,8,5,5,Desktop
CUST00517,20.02,1,3,0,Mobile
CUST00518,2.64,9,4,1,Mobile
CUST00519,2.65,2,1,1,Mobile
CUST00520,3.06,5,2,0,Tablet
CUST00521,65.01,1,1,0,Desktop
CUST00522,10.02,6,0,0,Tablet
CUST00523,25.18,1,0,0,Tablet
CUST00524,6.07,4,1,1,Mobile
CUST00525,3.95,6,2,2,Mobile
CUST00526,0.13,6,2,0,Mobile
CUST00527,0.09,12,2,2,Tablet
CUST00528,6.64,6,0,0,Mobile
CUST00529,51.43,8,4,0,Tablet
CUST00530,14.24,5,0,0,Mobile
CUST00531,34.35,5,3,3,Desktop
CUST00532,9.47,8,3,3,Mobile
CUST00533,0.83,6,5,0,Mobile
CUST00534,11.33,2,1,1,Tablet
CUST00535,23.78,6,0,0,Tablet
CUST00536,30.04,5,4,0,Mobile
CUST00537,9.94,8,4,1,Tablet
CUST00538,26.19,6,2,1,Tablet
CUST00539,27.89,7,5,4,Tablet
CUST00540,20.81,9,1,0,Desktop
CUST00541,2.69,1,2,2,Tablet
CUST00542,34.1,6,2,1,Tablet
CUST00543,23.81,7,3,0,Mobile
CUST00544,24.47,3,0,0,Tablet
CUST00545,13.21,3,2,1,Desktop
CUST00546,24.49,4,0,0,Tablet
CUST00547,7.42,3,1,0,Desktop
CUST00548,22.28,4,3,3,Tablet
CUST00549,17.84,2,0,0,Desktop
CUST00550,0.07,10,5,3,Tablet
CUST00551,69.48,5,1,0,Mobile
CUST00552,7.79,1,1,0,Tablet
CUST00553,9.6,9,3,3,Mobile
CUST00554,12.71,6,4,2,Desktop
CUST00555,102.43,7,3,1,Mobile
CUST00556,0.42,10,3,2,Desktop
CUST00557,3.18,2,3,1,Tablet
CUST00558,13.89,7,1,1,Tablet
CUST00559,0.63,4,5,0,Desktop
CUST00560,11.54,9,1,1,Desktop
CUST00561,8.3,1,5,4,Desktop
CUST00562,9.32,1,5,0,Tablet
CUST00563,9.26,4,3,1,Mobile
CUST00564,46.72,13,5,1,Tablet
CUST00565,4.37,2,4,1,Mobile
CUST00566,1.27,8,4,4,Mobile
CUST00567,0.68,6,4,1,Desktop
CUST00568,11.43,5,0,0,Mobile
CUST00569,7.01,4,2,2,Tablet
CUST00570,2.36,10,1,0,Mobile
CUST00571,23.49,1,3,1,Tablet
CUST00572,16.38,6,3,1,Tablet
CUST00573,39.31,7,1,1,Tablet
CUST00574,12.95,6,0,0,Tablet
CUST00575,5.74,3,5,0,Tablet
CUST00576,33.23,6,2,1,Desktop
CUST00577,13.62,7,3,0,Desktop
CUST00578,12.86,5,3,3,Tablet
CUST00579,1.22,7,2,0,Mobile
CUST00580,21.4,6,2,2,Desktop
CUST00581,4.44,8,0,0,Desktop
CUST00582,0.46,6,5,3,Tablet
CUST00583,20.98,4,2,1,Tablet
CUST00584,18.27,3,3,3,Desktop
CUST00585,6.67,1,1,0,Tablet
CUST00586,14.94,3,3,3,Mobile
CUST00587,66.83,1,4,1,Mobile
CUST00588,3.67,4,0,0,Desktop
CUST00589,20.23,5,3,2,Mobile
CUST00590,5.06,2,3,3,Mobile
CUST00591,9.18,2,0,0,Desktop
CUST00592,1.95,1,1,1,Tablet
CUST00593,4.73,5,0,0,Mobile
CUST00594,1.92,2,4,0,Mobile
CUST00595,12.21,3,2,0,Mobile
CUST00596,1.85,3,2,0,Desktop
CUST00597,15.32,1,4,0,Tablet
CUST00598,0.47,4,1,1,Desktop
CUST00599,2.2,2,1,1,Tablet
CUST00600,1.57,1,2,0,Desktop
CUST00601,3.62,8,3,0,Mobile
CUST00602,42.42,9,0,0,Tablet
CUST00603,76.36,7,3,3,Mobile
CUST00604,21.06,6,4,2,Tablet
CUST00605,7.3,1,1,1,Desktop
CUST00606,18.8,1,3,2,Tablet
CUST00607,11.91,1,0,0,Desktop
CUST00608,2.51,2,4,3,Desktop
CUST00609,1.87,11,2,2,Tablet
CUST00610,19.28,6,4,3,Tablet
CUST00611,14.71,4,1,1,Mobile
CUST00612,21.21,7,5,3,Mobile
CUST00613,29.0,4,4,4,Desktop
CUST00614,1.72,7,5,2,Desktop
CUST00615,40.22,5,3,2,Desktop
CUST00616,11.81,10,1,1,Desktop
CUST00617,27.91,5,5,1,Mobile
CUST00618,3.82,7,1,1,Desktop
CUST00619,7.39,3,1,0,Tablet
CUST00620,7.32,4,4,0,Tablet
CUST00621,1.27,8,1,1,Tablet
CUST00622,9.32,5,1,0,Mobile
CUST00623,10.83,1,5,3,Mobile
CUST00624,17.94,5,5,0,Mobile
CUST00625,3.14,5,1,0,Mobile
CUST00626,9.18,6,4,1,Tablet
CUST00627,3.94,5,4,0,Tablet
CUST00628,4.96,5,2,2,Desktop
CUST00629,33.88,9,5,5,Mobile
CUST00630,6.74,4,4,2,Desktop
CUST00631,10.38,3,2,1,Desktop
CUST00632,2.55,3,1,0,Mobile
CUST00633,2.41,10,0,0,Desktop
CUST00634,27.66,1,5,0,Mobile
CUST00635,6.61,7,1,1,Desktop
CUST00636,9.04,9,1,0,Tablet
CUST00637,5.92,4,5,3,Tablet
CUST00638,13.01,1,0,0,Desktop
CUST00639,12.0,2,4,2,Tablet
CUST00640,0.37,9,3,3,Mobile
CUST00641,0.9,3,0,0,Mobile
CUST00642,24.86,12,5,4,Desktop
CUST00643,28.2,1,2,2,Mobile
CUST00644,32.21,1,3,2,Tablet
CUST00645,1.04,1,5,5,Desktop
CUST00646,12.23,6,1,1,Tablet
CUST00647,21.47,8,3,0,Mobile
CUST00648,9.33,4,0,0,Mobile
CUST00649,3.98,2,3,3,Tablet
CUST00650,0.65,5,2,2,Desktop
CUST00651,36.23,8,0,0,Mobile
CUST00652,2.89,2,5,1,Tablet
CUST00653,0.23,4,4,3,Mobile
CUST00654,20.84,4,3,2,Tablet
CUST00655,4.85,6,5,2,Desktop
CUST00656,34.71,11,0,0,Mobile
CUST00657,3.13,2,5,5,Desktop
CUST00658,14.71,1,1,0,Mobile
CUST00659,4.72,8,4,4,Mobile
CUST00660,4.13,6,3,1,Desktop
