CampaignID,CampaignName,CustomerID,CampaignMedium,EngagementLevel,ConversionStatus
CAM0202,Campaign Information,CUST05085,Push Notification,Opened,Not Converted
CAM0203,Campaign He,CUST04690,Social Media,Opened,Converted
CAM0204,Campaign Sign,CUST04854,SMS,Clicked,Converted
CAM0205,Campaign Follow,CUST05249,SMS,Opened,Not Converted
CAM0206,Campaign A,CUST08221,SMS,Opened,Converted
CAM0207,Campaign Big,CUST06476,Email,Opened,Not Converted
CAM0208,Campaign Team,CUST03767,Push Notification,Opened,Converted
CAM0209,Campaign Until,CUST03507,SMS,Ignored,Converted
CAM0210,Campaign Sure,CUST00310,Email,Opened,Not Converted
CAM0211,Campaign Prevent,CUST09048,Email,Ignored,Not Converted
CAM0212,Campaign Recognize,CUST01329,Social Media,Ignored,Converted
CAM0213,Campaign Parent,CUST03515,SMS,Opened,Not Converted
CAM0214,Campaign Us,CUST05570,Push Notification,Clicked,Not Converted
CAM0215,Campaign Surface,CUST03403,Push Notification,Clicked,Not Converted
CAM0216,Campaign Hot,CUST06005,Email,Ignored,Converted
CAM0217,Campaign Trip,CUST01831,Email,Opened,Not Converted
CAM0218,Campaign Six,CUST07791,Push Notification,Opened,Converted
CAM0219,Campaign Stand,CUST07753,Email,Clicked,Converted
CAM0220,Campaign Amount,CUST02120,SMS,Clicked,Not Converted
CAM0221,Campaign Write,CUST04268,Push Notification,Opened,Not Converted
CAM0222,Campaign Rate,CUST05439,Push Notification,Clicked,Converted
CAM0223,Campaign Single,CUST00805,SMS,Ignored,Converted
CAM0224,Campaign Keep,CUST09476,Email,Opened,Converted
CAM0225,Campaign Draw,CUST06074,Social Media,Ignored,Not Converted
CAM0226,Campaign People,CUST05677,Email,Clicked,Converted
CAM0227,Campaign Understand,CUST01398,Social Media,Ignored,Converted
CAM0228,Campaign Eight,CUST07253,Push Notification,Clicked,Converted
CAM0229,Campaign Although,CUST08793,Email,Ignored,Converted
CAM0230,Campaign Far,CUST07044,Push Notification,Clicked,Not Converted
CAM0231,Campaign Or,CUST02662,Social Media,Clicked,Converted
CAM0232,Campaign Pay,CUST03088,SMS,Clicked,Converted
CAM0233,Campaign Job,CUST09521,Email,Clicked,Not Converted
CAM0234,Campaign Book,CUST05580,SMS,Ignored,Not Converted
CAM0235,Campaign Like,CUST05064,Push Notification,Clicked,Not Converted
CAM0236,Campaign Activity,CUST02810,SMS,Clicked,Converted
CAM0237,Campaign Whatever,CUST04996,Social Media,Ignored,Not Converted
CAM0238,Campaign Its,CUST03463,Social Media,Opened,Converted
CAM0239,Campaign Again,CUST00900,Push Notification,Clicked,Not Converted
CAM0240,Campaign Answer,CUST06669,Email,Ignored,Converted
CAM0241,Campaign Shoulder,CUST07994,Push Notification,Ignored,Converted
CAM0242,Campaign Adult,CUST06420,Push Notification,Opened,Converted
CAM0243,Campaign Daughter,CUST07842,Email,Opened,Converted
CAM0244,Campaign Service,CUST09334,Social Media,Clicked,Not Converted
CAM0245,Campaign Benefit,CUST05907,SMS,Ignored,Not Converted
CAM0246,Campaign Next,CUST09089,Push Notification,Opened,Not Converted
CAM0247,Campaign Learn,CUST09922,SMS,Clicked,Converted
CAM0248,Campaign Although,CUST02143,SMS,Ignored,Not Converted
CAM0249,Campaign Along,CUST03624,SMS,Opened,Not Converted
CAM0250,Campaign Ok,CUST02855,Social Media,Ignored,Converted
CAM0251,Campaign Also,CUST06510,SMS,Ignored,Converted
CAM0252,Campaign Huge,CUST03140,SMS,Opened,Converted
CAM0253,Campaign Lead,CUST03200,Social Media,Opened,Not Converted
CAM0254,Campaign That,CUST03364,SMS,Opened,Converted
CAM0255,Campaign History,CUST05830,SMS,Clicked,Converted
CAM0256,Campaign Challenge,CUST08606,Social Media,Ignored,Converted
CAM0257,Campaign Ahead,CUST06786,Push Notification,Opened,Not Converted
CAM0258,Campaign Impact,CUST07527,SMS,Ignored,Converted
CAM0259,Campaign Article,CUST09074,SMS,Clicked,Not Converted
CAM0260,Campaign Increase,CUST01509,Social Media,Ignored,Converted
CAM0261,Campaign Image,CUST07684,SMS,Ignored,Not Converted
CAM0262,Campaign Election,CUST01583,Push Notification,Clicked,Not Converted
CAM0263,Campaign Show,CUST00706,SMS,Clicked,Converted
CAM0264,Campaign Focus,CUST06492,Social Media,Clicked,Converted
CAM0265,Campaign East,CUST09729,Social Media,Clicked,Not Converted
CAM0266,Campaign Around,CUST01160,SMS,Opened,Converted
CAM0267,Campaign Natural,CUST03199,Social Media,Ignored,Not Converted
CAM0268,Campaign Catch,CUST05613,Social Media,Opened,Converted
CAM0269,Campaign Produce,CUST08482,SMS,Opened,Converted
CAM0270,Campaign Budget,CUST00118,SMS,Opened,Converted
CAM0271,Campaign Collection,CUST08320,Email,Opened,Converted
CAM0272,Campaign Most,CUST07623,Push Notification,Clicked,Converted
CAM0273,Campaign Personal,CUST05124,Social Media,Opened,Converted
CAM0274,Campaign Begin,CUST03704,Push Notification,Opened,Converted
CAM0275,Campaign Gas,CUST08937,SMS,Opened,Not Converted
CAM0276,Campaign Mouth,CUST08193,SMS,Clicked,Not Converted
CAM0277,Campaign Claim,CUST02577,Social Media,Opened,Not Converted
CAM0278,Campaign Yet,CUST01583,Email,Clicked,Not Converted
CAM0279,Campaign Somebody,CUST09470,Social Media,Clicked,Not Converted
CAM0280,Campaign Chance,CUST04742,Email,Opened,Converted
CAM0281,Campaign Easy,CUST07200,Social Media,Clicked,Not Converted
CAM0282,Campaign This,CUST07386,Social Media,Opened,Converted
CAM0283,Campaign Firm,CUST01007,Push Notification,Opened,Not Converted
CAM0284,Campaign Such,CUST07407,Email,Opened,Converted
CAM0285,Campaign Play,CUST04629,Email,Clicked,Converted
CAM0286,Campaign Science,CUST05672,SMS,Opened,Not Converted
CAM0287,Campaign High,CUST02869,Email,Ignored,Not Converted
CAM0288,Campaign Hot,CUST09881,Email,Opened,Not Converted
CAM0289,Campaign Perhaps,CUST01017,Push Notification,Ignored,Not Converted
CAM0290,Campaign Hundred,CUST01865,Push Notification,Ignored,Not Converted
CAM0291,Campaign Model,CUST00121,Email,Opened,Converted
CAM0292,Campaign Husband,CUST04878,SMS,Opened,Not Converted
CAM0293,Campaign Kid,CUST01754,Email,Ignored,Converted
CAM0294,Campaign Once,CUST05786,SMS,Ignored,Converted
CAM0295,Campaign Project,CUST07038,Push Notification,Opened,Not Converted
CAM0296,Campaign Mind,CUST04279,Push Notification,Ignored,Converted
CAM0297,Campaign Western,CUST06823,Push Notification,Clicked,Converted
CAM0298,Campaign Figure,CUST01894,SMS,Opened,Not Converted
CAM0299,Campaign Teach,CUST09957,Push Notification,Ignored,Converted
CAM0300,Campaign Machine,CUST08432,Email,Clicked,Converted
CAM0301,Campaign But,CUST06503,Email,Clicked,Converted
CAM0302,Campaign No,CUST04859,Social Media,Clicked,Not Converted
CAM0303,Campaign Protect,CUST07788,Email,Opened,Not Converted
CAM0304,Campaign True,CUST06739,Email,Ignored,Converted
CAM0305,Campaign Front,CUST04732,SMS,Ignored,Not Converted
CAM0306,Campaign Minute,CUST05053,Push Notification,Clicked,Converted
CAM0307,Campaign Natural,CUST07895,Email,Ignored,Converted
CAM0308,Campaign Film,CUST04188,SMS,Opened,Not Converted
CAM0309,Campaign Organization,CUST06054,Social Media,Opened,Converted
CAM0310,Campaign Bar,CUST05613,Social Media,Opened,Not Converted
CAM0311,Campaign Voice,CUST01937,Social Media,Opened,Converted
CAM0312,Campaign Wrong,CUST07554,Push Notification,Opened,Converted
CAM0313,Campaign Imagine,CUST03361,SMS,Clicked,Converted
CAM0314,Campaign He,CUST00336,Social Media,Opened,Converted
CAM0315,Campaign Night,CUST01176,Social Media,Opened,Converted
CAM0316,Campaign Herself,CUST06022,Push Notification,Clicked,Converted
CAM0317,Campaign Strong,CUST00173,Social Media,Opened,Converted
CAM0318,Campaign Visit,CUST03598,SMS,Clicked,Converted
CAM0319,Campaign Decade,CUST01268,Social Media,Ignored,Not Converted
CAM0320,Campaign Similar,CUST07820,Push Notification,Ignored,Not Converted
CAM0321,Campaign None,CUST02940,Push Notification,Opened,Converted
CAM0322,Campaign Structure,CUST00986,Social Media,Opened,Not Converted
CAM0323,Campaign According,CUST09003,SMS,Opened,Not Converted
CAM0324,Campaign Assume,CUST05835,Social Media,Opened,Converted
CAM0325,Campaign Teacher,CUST09985,Email,Opened,Not Converted
CAM0326,Campaign Meeting,CUST05634,Social Media,Opened,Not Converted
CAM0327,Campaign Paper,CUST01145,Social Media,Ignored,Converted
CAM0328,Campaign Continue,CUST05524,Email,Ignored,Converted
CAM0329,Campaign Figure,CUST07705,SMS,Ignored,Converted
CAM0330,Campaign Sound,CUST09880,Push Notification,Clicked,Converted
CAM0331,Campaign Measure,CUST02138,Social Media,Opened,Converted
CAM0332,Campaign Respond,CUST05951,Email,Clicked,Converted
CAM0333,Campaign Might,CUST08535,Social Media,Opened,Not Converted
CAM0334,Campaign Wait,CUST07292,Push Notification,Opened,Not Converted
CAM0335,Campaign Spend,CUST00014,Email,Ignored,Converted
CAM0336,Campaign Physical,CUST08474,Email,Clicked,Converted
CAM0337,Campaign Film,CUST01199,SMS,Clicked,Not Converted
CAM0338,Campaign Form,CUST05675,SMS,Ignored,Not Converted
CAM0339,Campaign Candidate,CUST01609,Push Notification,Ignored,Converted
CAM0340,Campaign Theory,CUST02330,Push Notification,Opened,Not Converted
CAM0341,Campaign Film,CUST04702,Social Media,Opened,Converted
CAM0342,Campaign Into,CUST02696,Push Notification,Opened,Converted
CAM0343,Campaign Property,CUST01023,Social Media,Opened,Converted
CAM0344,Campaign Describe,CUST03191,SMS,Clicked,Not Converted
CAM0345,Campaign Both,CUST01870,Push Notification,Clicked,Converted
CAM0346,Campaign Use,CUST06571,Email,Clicked,Not Converted
CAM0347,Campaign Student,CUST01605,SMS,Opened,Not Converted
CAM0348,Campaign Party,CUST06490,SMS,Opened,Not Converted
CAM0349,Campaign Career,CUST00906,Push Notification,Opened,Converted
CAM0350,Campaign West,CUST01474,Push Notification,Ignored,Converted
CAM0351,Campaign Around,CUST04236,Email,Opened,Not Converted
CAM0352,Campaign Study,CUST04929,SMS,Ignored,Not Converted
CAM0353,Campaign Must,CUST03105,Email,Clicked,Converted
CAM0354,Campaign Test,CUST02078,Push Notification,Ignored,Not Converted
CAM0355,Campaign Section,CUST05927,Social Media,Opened,Not Converted
CAM0356,Campaign Course,CUST03097,Push Notification,Clicked,Converted
CAM0357,Campaign Himself,CUST08516,SMS,Ignored,Not Converted
CAM0358,Campaign Rich,CUST03903,Email,Ignored,Not Converted
CAM0359,Campaign Democrat,CUST00673,Social Media,Clicked,Not Converted
CAM0360,Campaign Up,CUST04475,Social Media,Ignored,Converted
CAM0361,Campaign Result,CUST01526,Social Media,Opened,Converted
CAM0362,Campaign Begin,CUST03362,Email,Clicked,Converted
CAM0363,Campaign Each,CUST08068,Social Media,Ignored,Converted
CAM0364,Campaign Thought,CUST09231,Email,Opened,Converted
CAM0365,Campaign Head,CUST01758,Social Media,Ignored,Converted
CAM0366,Campaign No,CUST08108,Push Notification,Opened,Converted
CAM0367,Campaign One,CUST09062,Email,Opened,Converted
CAM0368,Campaign Yourself,CUST02123,SMS,Clicked,Converted
CAM0369,Campaign Later,CUST05406,SMS,Opened,Converted
CAM0370,Campaign Risk,CUST09902,SMS,Clicked,Converted
CAM0371,Campaign Certain,CUST04033,Email,Clicked,Not Converted
CAM0372,Campaign Add,CUST03766,Email,Clicked,Converted
CAM0373,Campaign Support,CUST00081,SMS,Ignored,Converted
CAM0374,Campaign Improve,CUST05251,Push Notification,Clicked,Converted
CAM0375,Campaign Like,CUST07677,Social Media,Opened,Not Converted
CAM0376,Campaign Every,CUST09856,Social Media,Opened,Not Converted
CAM0377,Campaign Pick,CUST09561,Push Notification,Ignored,Converted
CAM0378,Campaign Upon,CUST04903,Push Notification,Clicked,Not Converted
CAM0379,Campaign Site,CUST02058,Social Media,Opened,Not Converted
CAM0380,Campaign Board,CUST09172,SMS,Opened,Converted
CAM0381,Campaign Happy,CUST04132,Social Media,Ignored,Not Converted
CAM0382,Campaign Fine,CUST02319,Email,Clicked,Not Converted
CAM0383,Campaign Almost,CUST05550,Push Notification,Ignored,Converted
CAM0384,Campaign Interview,CUST09539,SMS,Clicked,Converted
CAM0385,Campaign Political,CUST07264,Email,Clicked,Not Converted
CAM0386,Campaign Provide,CUST08759,Push Notification,Ignored,Converted
CAM0387,Campaign Site,CUST02352,SMS,Ignored,Converted
CAM0388,Campaign Indeed,CUST05624,Push Notification,Ignored,Not Converted
CAM0389,Campaign Explain,CUST00263,SMS,Clicked,Converted
CAM0390,Campaign Benefit,CUST02767,Push Notification,Opened,Converted
CAM0391,Campaign Imagine,CUST00229,Email,Opened,Converted
CAM0392,Campaign Stage,CUST04199,SMS,Clicked,Converted
CAM0393,Campaign Red,CUST02012,Push Notification,Clicked,Converted
CAM0394,Campaign Only,CUST08883,Social Media,Clicked,Not Converted
CAM0395,Campaign West,CUST03551,SMS,Clicked,Converted
CAM0396,Campaign Page,CUST03400,SMS,Ignored,Converted
CAM0397,Campaign Also,CUST07912,Email,Ignored,Not Converted
CAM0398,Campaign Type,CUST04840,Email,Clicked,Not Converted
CAM0399,Campaign Air,CUST05364,Push Notification,Opened,Converted
CAM0400,Campaign Head,CUST05952,SMS,Clicked,Not Converted
CAM0401,Campaign Attack,CUST06820,SMS,Opened,Converted
CAM0402,Campaign Identify,CUST03789,Push Notification,Opened,Not Converted
CAM0403,Campaign Company,CUST02267,Email,Opened,Converted
CAM0404,Campaign Special,CUST09231,Email,Opened,Not Converted
CAM0405,Campaign House,CUST08793,Social Media,Ignored,Converted
CAM0406,Campaign Appear,CUST04996,Push Notification,Clicked,Converted
CAM0407,Campaign Current,CUST09041,Social Media,Clicked,Not Converted
CAM0408,Campaign Main,CUST03696,Push Notification,Opened,Converted
CAM0409,Campaign Seek,CUST02542,SMS,Ignored,Converted
CAM0410,Campaign Truth,CUST02126,Email,Clicked,Not Converted
CAM0411,Campaign Few,CUST03196,SMS,Clicked,Not Converted
CAM0412,Campaign Ago,CUST04904,Push Notification,Ignored,Not Converted
CAM0413,Campaign Mother,CUST03435,Email,Ignored,Not Converted
